code	*description
par1	The Param1 field value
par2	The Param2 field value
par3	The Param3 field value
par4	The Param4 field value
par5	The Param5 field value
cpa1	The CltParam1 field value
cpa2	The CltParam2 field value
cpa3	The CltParam3 field value
cpa4	The CltParam4 field value
cpa5	The CltParam5 field value
hpa1	The sHitPar1 field value
hpa2	The sHitPar2 field value
hpa3	The sHitPar3 field value
chp1	The cHitPar1 field value
chp2	The cHitPar2 field value
chp3	The cHitPar3 field value
dpa1	The dParam1 field value
dpa2	The dParam2 field value
lvl	The current Missile Level
edmn	Elemental Damage Min
edmx	Elemental Damage Max
edln	Elemental Damage Length
edns	Elemental Damage Min (256ths)
edxs	Elemental Damage Max (256ths)
damn	Physical Damage Min
damx	Physical Damage Max
dmns	Physical Damage Min (256ths)
dmxs	Physical Damage Max (256ths)
rang	The Range field value
sl12	par1 + (lvl - 1) * par2
sd12	((110 * lvl) * (par2 - par1)) / (100 * (lvl + 6)) + par1
sl34	par3 + (lvl - 1) * par4
sd34	((110 * lvl) * (par4 - par3)) / (100 * (lvl + 6)) + par3
cl12	cpa1 + (lvl - 1) * cpa2
cd12	((110 * lvl) * (cpa2 - cpa1)) / (100 * (lvl + 6)) + cpa1
cl34	cpa3 + (lvl - 1) * cpa4
cd34	((110 * lvl) * (cpa4 - cpa3)) / (100 * (lvl + 6)) + cpa3
shl1	hpa1 + (lvl - 1) * hpa2
shd1	((110 * lvl) * (hpa2 - hpa1)) / (100 * (lvl + 6)) + hpa1
chl1	chp1 + (lvl - 1) * chp2
chd1	((110 * lvl) * (chp2 - chp1)) / (100 * (lvl + 6)) + chp1
dl12	dpa1 + (lvl - 1) * dpa2
dd12	((110 * lvl) * (dpa2 - dpa1)) / (100 * (lvl + 6)) + dpa1
