Name	Token
Not Used	NU0
Casket #5	C5
Outdoor Shrine	SF
Casket #6	C6
Urn #1	U1
Large Chest R	L1
Large Chest L	L2
Barrel	B1
Tower Tome	TT
Urn #2	U2
Bench	BE
Barrel Exploding	BX
Fountain	FN
Door Gate Left	D1
Door Gate Right	D2
Door Wooden Left	D3
Door Wooden Right	D4
Stone 1	S1
Stone 2	S2
Stone 3	S3
Stone 4	S4
Stone 5	S5
Stone 6	S6
Door Courtyard Left	D5
Door Courtyard Right	D6
Door Cathedral	D7
Gibbet	GI
Door Monastery	D8
Hole in Ground	HI
Brazier	BR
Inifuss Tree	IT
Blood Fountain	BF
Crucifix Large	CL
Candles 1	A1
Candles 2	A2
Standard 1	N1
Standard 2	N2
Tiki Torch	TO
Wall Torch	WT
Rogue Bonfire	RB
River 1	R1
River 2	R2
River 3	R3
River 4	R4
River 5	R5
Town 1 Ambient	SS
Crate	CT
Andariel Door	AD
Rogue Torch 1	T1
Rogue Torch 2	T2
Casket 1	C1
Casket 2	C2
Urn #3	U3
Casket Raised	C4
Rogue Corpse	Z1
Rogue Corpse	Z2
Rogue Rolling Corpse	Z5
Rogue Staked 1	Z3
Rogue Staked 2	Z4
Town Portal	TP
Portal Permanent	PP
Stone Sound	SS
Door Small Cathedral	D9
Door Small Cathedral	DA
Wooden Door	DB
River Sound Only 1	X1
River Sound Only 1	X2
Ripple 1	1R
Ripple 2	2R
Ripple 3	3R
Ripple 4	4R
Forest Night 1	F1
Forest Night 2	F2
Yeti Dung	YD
Trap Door	TD
Dock Door 	DD
Sewer Drip	SZ
ShrineHealth	SH
Town Ambient	SS
Casket 3	C3
Obelisk 1	OB
Forest Altar	AF
Bubbling pool of blood	B2
Horn Shrine	HS
Healing Well	HW
Bull Shrine	BC
stele	SG
tomb chest 1	CA
tomb chest 2	CB
mummy coffin	MC
desert obelisk	DO
tomb door left	TL
tomb door right	TR
innerhellmana	iz
urn #4	U4
urn #5	U5
innerhellhealth	iy
innershrine1	ix
tomb door left 2	TS
tomb door right 2	TU
secret door #1	SJ
Brazier	B3
Floor brazier	FB
flies	FL
Armor Stand 1	A3
Armor Stand 2	A4
Weapon Rack 1	W1
Weapon Rack 2	W2
Malus	HM
palace shrine	P2
not used	n5
Fountain 1	F3
not used	n6
Fountain 2	F4
not used	n7
Fountain 3	F5
Snake woman	SN
jungle torch	JT
