name	version	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4
bite	0	swor	knif	spea	pole	axe	h2h					
scratch	0	swor	knif	spea	pole	h2h						
scalpel	0	swor	knif									
fang	0	swor	knif	spea	pole							
gutter	0	swor	knif	spea	pole							
thirst	0	swor	knif	spea	pole	axe	h2h					
razor	0	swor	knif	axe	h2h							
scythe	0	swor	axe	pole								
edge	0	swor	knif	axe								
saw	0	swor										
splitter	0	axe	mace	club	hamm							
cleaver	0	swor	axe									
sever	0	swor	axe									
sunder	0	axe										
rend	0	axe										
mangler	0	axe	mace	club	hamm							
slayer	0	axe										
reaver	0	axe										
spawn	0	axe	hamm									
gnash	0	axe	club	hamm								
star	0	mace	hamm	scep	wand							
blow	0	mace	club	hamm	scep							
smasher	0	mace	club	hamm	scep							
Bane	0	mace	scep	wand								
crusher	0	mace	club	hamm	scep							
breaker	0	mace	club	hamm	scep							
grinder	0	mace	club	hamm	scep							
crack	0	mace	club	hamm	scep	wand						
mallet	0	hamm	club									
knell	0	mace	club	scep	wand							
lance	0	spea	pole									
spike	0	swor	knif	spea	pole							
impaler	0	swor	knif	spea	pole							
skewer	0	swor	knif	spea								
prod	0	spea	pole									
scourge	0	spea	pole									
wand	0	wand										
wrack	0	spea	pole									
barb	0	swor	knif	axe	spea	pole	h2h					
needle	0	swor	knif	spea	miss							
dart	0	spea	miss									
bolt	0	miss	jave									
quarrel	0	miss										
fletch	0	miss										
flight	0	miss	jave									
nock	0	miss										
horn	0	helm	miss	knif								
stinger	0	swor	knif	spea	miss							
quill	0	knif	miss									
goad	0	spea	pole	staf								
branch	0	spea	staf	bow								
spire	0	staf										
song	0	weap										
call	0	rod										
cry	0	rod										
spell	0	rod										
chant	0	rod										
weaver	0	rod										
gnarl	0	club	wand	staf								
visage	0	helm										
crest	0	helm										
circlet	0	helm										
veil	0	helm										
hood	0	helm										
mask	0	helm										
brow	0	helm										
casque	0	helm										
visor	0	helm										
cowl	0	helm										
hide	0	tors										
Pelt	0	tors										
carapace	0	tors										
coat	0	tors										
wrap	0	tors										
suit	0	tors										
cloak	0	tors										
shroud	0	tors										
jack	0	tors										
mantle	0	tors										
guard	0	shld										
badge	0	shld										
rock	0	shld										
aegis	0	shld										
ward	0	shld										
tower	0	shld										
shield	0	shld										
wing	0	shld	amul									
mark	0	shld	amul									
emblem	0	shld	amul									
hand	0	glov										
fist	0	glov	h2h									
claw	0	glov	h2h									
clutches	0	glov										
grip	0	glov	ring									
grasp	0	glov	ring									
hold	0	glov	ring									
touch	0	glov	ring									
finger	0	glov	ring									
knuckle	0	glov										
shank	0	boot										
spur	0	boot										
tread	0	boot										
stalker	0	boot										
greave	0	boot										
blazer	0	boot										
nails	0	boot	spea	pole								
trample	0	boot										
Brogues	0	boot										
track	0	boot										
slippers	0	boot										
clasp	0	belt	amul									
buckle	0	belt										
harness	0	belt										
lock	0	belt										
fringe	0	belt										
winding	0	belt										
chain	0	belt										
strap	0	belt										
lash	0	belt										
cord	0	belt										
knot	0	ring										
circle	0	ring										
loop	0	ring										
eye	0	misc										
turn	0	ring										
spiral	0	ring										
coil	0	ring										
gyre	0	ring	orb	jewl								
band	0	ring										
whorl	0	ring	orb	jewl								
talisman	0	amul	jewl									
heart	0	amul	orb	jewl								
noose	0	amul										
necklace	0	amul										
collar	0	amul										
beads	0	amul										
torc	0	amul										
gorget	0	amul										
scarab	0	amul	jewl									
wood	0	spea	pole	wand	staf							
brand	0	blun										
bludgeon	0	blun										
cudgel	0	club	wand									
loom	0	miss										
harp	0	miss										
master	0	ring										
barRI	0	blun	spea	pole								
hew	0	swor	knif	axe								
crook	0	staf										
mar	0	swor	knif	mace	club	hamm	spea					
shell	0	tors	helm	shld								
stake	0	spea	pole									
picket	0	spea	pole									
pale	0	spea	pole									
flange	0	tors	mace	hamm	scep							
