event	*description
hitbymissile	Unit is hit by a missile
damagedinmelee	Unit takes damage from a melee attack
damagedbymissile	Unit takes damage from a missile
attackedinmelee	Unit is attacked by a melee attack
doactive	Unit used a skill
domeleedamage	Unit dealt damage with a melee attack
domissiledamage	Unit dealt damage with a missile
domeleeattack	Unit used a melee attack
domissileattack	Unit used a missile attack
kill	Unit killed another Unit
killed	Unit dies
absorbdamage	Unit takes damage
levelup	Unit gained a Level
death	Monster dies
