Index	Act	ObjectClass	*Notes	*eol
0	1	Fountain	Indicies CAN be entered out-of-order 	0
1	1	TikiTorch1	Acts do NOT need to be contiguous	0
2	1	RogueBonfire	Row insertions and deletions will work	0
3	1	Standard1	There is no limit on index count per act	0
4	1	Standard2		0
5	1	LargeChestR		0
6	1	StoneAlpha		0
7	1	StoneBeta		0
8	1	StoneGamma		0
9	1	StoneDelta		0
10	1	StoneLambda		0
11	1	StoneTheta		0
12	1	InifussTree		0
13	1	Ripple4		0
14	1	Ripple4		0
15	1	Ripple3		0
16	1	Ripple3		0
17	1	Brazier		0
18	1	BloodFountain		0
19	1	Candles1		0
20	1	Candles2		0
21	1	TikiTorch1		0
22	1	StoneSoundOnly		0
23	1	RiverSoundOnly1		0
24	1	RiverSoundOnly2		0
25	1	TowerTome		0
26	1	Gibbet		0
27	1	HoleInGround		0
28	1	BubblingBloodPool		0
29	1	DeerShrine		0
30	1	ForestAltar		0
31	1	HealingWell		0
32	1	HornShrine		0
33	1	Town1Ambient		0
34	1	StoneSoundOnly		0
35	1	Flies		0
36	1	Malus		0
37	1	WaypointOutsideAct1		0
38	1	PlaceUniqueChest		0
39	1	Fountain5		0
40	1	HiddenStash		0
41	1	HidingSpot		0
42	1	Log		0
43	1	FireSmall		0
44	1	FireMedium		0
45	1	FireLarge		0
46	1	ArmorStand1		0
47	1	ArmorStand2		0
48	1	WeaponRack1		0
49	1	WeaponRack2		0
50	1	Bookshelf1		0
51	1	Bookshelf2		0
52	1	WaypointOutsideAct1		0
53	1	WaypointInsideAct1		0
54	1	Bed1Act1		0
55	1	Bed2Act1		0
56	1	Rock		0
57	1	RockC		0
58	1	RockD		0
59	1	ChestOutdoor1		0
60	1	ChestOutdoor2		0
61	1	ChestOutdoor3		0
62	1	ChestOutdoor4		0
63	1	LargeChestL		0
64	1	Chest5		0
65	1	Chest6		0
66	1	Chest7		0
67	1	RogueCorpse1		0
68	1	RogueCorpse2		0
69	1	RogueRollingCorpse1		0
70	1	RogueStakedCorpse1		0
71	1	RogueStakedCorpse2		0
72	1	CorpseSkeleton		0
73	1	GuarDonaStick		0
74	1	BurnedBody1Act1		0
75	1	BurningBody2Act1		0
76	1	ExplodingCow		0
77	1	Fountain1		0
78	1	Fountain8		0
79	1	Fountain6		0
80	1	ManaWell1		0
81	1	ManaWell2		0
82	1	ShrineAltar		0
83	1	BullShrine		0
84	1	STeleShrine		0
85	1	Act1CathedralShrine		0
86	1	Act1JailShrine		0
87	1	Act1JailHealthShrine		0
88	1	Act1JailManaShrine		0
89	1	Casket1		0
90	1	Casket2		0
91	1	Casket3		0
92	1	Casket4		0
93	1	Casket5		0
94	1	Casket6		0
95	1	Barrel		0
96	1	Crate		0
97	1	WallTorch1		0
98	1	StoolAct1		0
99	1	Woodpile1Act1		0
100	1	Woodpile2Act1		0
101	1	HiddenDoor2		0
102	1	Bank		0
103	1	WIRT		0
104	1	GoldProxy		0
105	1	PlaceRandomTreasureChest		0
106	1	HellLight1		0
107	1	HellLight2		0
108	1	HellLight3		0
109	1	Fog		0
110	1	CainAct1Start		0
111	1	ConsolationChest		0
112	1	PermanentPortal2		0
0	2	Trapdoor		0
1	2	TikiTorch1		0
2	2	TeleportPad1		0
3	2	TeleportPad2		0
4	2	TeleportPad3		0
5	2	TeleportPad4		0
6	2	Brazier3		0
7	2	FloorBrazier		0
8	2	Town1Ambient		0
9	2	Flies		0
10	2	WaypointAct2		0
11	2	PlaceUniqueChest		0
12	2	Fountain6		0
13	2	HiddenDoor2		0
14	2	ArcaneTome		0
15	2	DurielsDoor		0
16	2	JerhynPlaceholder1		0
17	2	JerhynPlaceholder2		0
18	2	SlimeDoor1		0
19	2	SlimeDoor2		0
20	2	FloorTrap		0
21	2	Bank		0
22	2	FloorTrapDesert		0
23	2	TaintedSunShrine		0
24	2	GoldProxy		0
25	2	Urn1		0
26	2	Urn2		0
27	2	Urn3		0
28	2	Urn4		0
29	2	Urn5		0
30	2	JugOutdoor1		0
31	2	JugOutdoor2		0
32	2	LargeChestR		0
33	2	LargeChestL		0
34	2	TombChest1		0
35	2	TombChest2		0
36	2	Chest2		0
37	2	Chest2		0
38	2	Chest3		0
39	2	Chest4		0
40	2	Chest5		0
41	2	Chest6		0
42	2	Chest7		0
43	2	Chest8		0
44	2	Chest1B		0
45	2	Chest2B		0
46	2	Chest3B		0
47	2	SewerChest		0
48	2	Brazier		0
49	2	FireSmall		0
50	2	FireMedium		0
51	2	FireLarge		0
52	2	Flame1		0
53	2	TorchAct2		0
54	2	BullShrine		0
55	2	STeleShrine		0
56	2	PalaceShrine		0
57	2	SnakeWomanShrine		0
58	2	DesertShrine00		0
59	2	DesertShrine01		0
60	2	DesertShrine02		0
61	2	DesertShrine03		0
62	2	DesertShrine04		0
63	2	ShrineHealth		0
64	2	ShrineMana		0
65	2	ShrineMagicSewer		0
66	2	ShrineHealthSewer		0
67	2	ShrineManaSewer		0
68	2	ShrineMagicSewer2		0
69	2	ManaWell3		0
70	2	ManaWell4		0
71	2	Fountain2		0
72	2	Fountain7		0
73	2	MummyCasket		0
74	2	ArmorStand1		0
75	2	ArmorStand2		0
76	2	WeaponRack1		0
77	2	WeaponRack2		0
78	2	DeadPalaceGuard		0
79	2	CorpseSkeleton		0
80	2	GuarDonaStick		0
81	2	GuardCorpse2Act2		0
82	2	Corpse1Act3		0
83	2	Corpse2Act3		0
84	2	GooPile		0
85	2	WUmPus		0
86	2	SewerRatNest		0
87	2	TombAct2		0
88	2	WaypointCellar		0
89	2	ArcaneSanctuaryPortal		0
90	2	HaremBed		0
91	2	TombWallTorchLeft		0
92	2	TombWallTorchRight		0
93	2	DesertBrazierShort		0
94	2	DesertBrazierTall		0
95	2	Brazier2		0
96	2	DesertIronGrateDoorLeft		0
97	2	DesertIronGrateDoorRight		0
98	2	DesertWoodenGrateDoorLeft		0
99	2	DesertWoodenGrateDoorRight		0
100	2	DesertWoodenDoorLeft		0
101	2	DesertWoodenDoorRight		0
102	2	ShrineMagicArcaneSanctuary1		0
103	2	ShrineMagicArcaneSanctuary2		0
104	2	HaremShrine1		0
105	2	HaremShrine2		0
106	2	MaggotShrineHealth		0
107	2	MaggotShrineMana		0
108	2	PlaceRandomTreasureChest		0
109	2	HoradricCubeChest		0
110	2	PlaceArcaneThingamajig		0
111	2	HaremGuard1		0
112	2	HaremGuard2		0
113	2	HaremGuard3		0
114	2	HaremGuard4		0
115	2	SewerWaypoint		0
116	2	TombWell		0
117	2	BarPatronDrinker		0
118	2	BarPatronGesturer		0
119	2	BarPatronTurner		0
120	2	HoradricScrollChest		0
121	2	StaffOfKingsChest		0
122	2	ArcaneTome		0
123	2	HellLight1		0
124	2	HellLight2		0
125	2	HellLight3		0
126	2	SevenTombsReceptacle		0
127	2	Fog		0
128	2	ArcaneChest1		0
129	2	ArcaneChest2		0
130	2	ArcaneChest3		0
131	2	ArcaneChest4		0
132	2	ArcaneCasket1		0
133	2	ConsolationChest		0
134	2	WaypointDesertValley		0
0	3	JungleBrazier		0
1	3	WaypointAct3		0
2	3	PlaceUniqueChest		0
3	3	Fountain5		0
4	3	FloorBrazier		0
5	3	TikiTorch1		0
6	3	FireSmall		0
7	3	FireMedium		0
8	3	FireLarge		0
9	3	ArmorStand1		0
10	3	ArmorStand2		0
11	3	WeaponRack1		0
12	3	WeaponRack2		0
13	3	UnfoldingStairLeft		0
14	3	UnfoldingStairRight		0
15	3	LamesEnsTome		0
16	3	Rock1Act3		0
17	3	WaterRockGirl1Act3		0
18	3	WaterLog1Act3		0
19	3	BigLogAct3SE		0
20	3	WaterRock1Act3		0
21	3	WaterRockGirl2Act3		0
22	3	WaterLog2Act3		0
23	3	BigLogAct3		0
24	3	WaterRock2Act3		0
25	3	WaterRockGirl3Act3		0
26	3	WaterLog3Act3		0
27	3	BigLogAct3NW		0
28	3	WebTree1		0
29	3	WebTree2		0
30	3	WebTree3		0
31	3	WebTree4		0
32	3	Cocoon1		0
33	3	Cocoon2		0
34	3	Bank		0
35	3	GoldProxy		0
36	3	PlaceRandomTreasureChest		0
37	3	JungleHealWell		0
38	3	ShrineMagicSewer3		0
39	3	JungleShrine2		0
40	3	JungleShrine3		0
41	3	JungleShrine4		0
42	3	JungleShrine5		0
43	3	MephistoShrine1		0
44	3	MephistoShrine2		0
45	3	MephistoShrine3		0
46	3	MephistoShrine4		0
47	3	MephistoShrine5		0
48	3	ShrineManaDungeon		0
49	3	ShrineHealthDungeon		0
50	3	Fountain5		0
51	3	SewerDungeonBody		0
52	3	Corpse3		0
53	3	Corpse1Act3		0
54	3	Corpse2Act3		0
55	3	SewerTorch		0
56	3	KurastTorch		0
57	3	TravincalChestLargeLeft		0
58	3	TravincalChestLargeRight		0
59	3	TravincalChestMedLeft		0
60	3	TravincalChestMedRight		0
61	3	SewerChestLargeLeft		0
62	3	SewerChestTallLeft		0
63	3	SewerChestMedRight		0
64	3	SewerChestTallRight		0
65	3	LargeChestR		0
66	3	LargeChestL		0
67	3	Chest1B		0
68	3	Chest5		0
69	3	Chest6		0
70	3	JungleChest		0
71	3	JungleChest2		0
72	3	SewerChest		0
73	3	JunglePillar0		0
74	3	JunglePillar1		0
75	3	JunglePillar2		0
76	3	JunglePillar3		0
77	3	MephistoPillar1		0
78	3	MephistoPillar2		0
79	3	MephistoPillar3		0
80	3	Basket1		0
81	3	Basket2		0
82	3	Log		0
83	3	SewerWaypoint		0
84	3	TravincalWaypoint		0
85	3	FloorTrap		0
86	3	BubblesAct3		0
87	3	SkullPile		0
88	3	SewerRatNest		0
89	3	HellLight1		0
90	3	HellLight2		0
91	3	HellLight3		0
92	3	DungeonRockPile		0
93	3	DungeonShrineMagic		0
94	3	DungeonBasket		0
95	3	Act3DungeonCasket		0
96	3	TownAct3GidBInnAltar		0
97	3	GidBInnDecoy		0
98	3	Basket1		0
99	3	TorchAct2		0
100	3	BeneathTheCityLever		0
101	3	BeneathTheCityStairs		0
102	3	DarkWanderStart		0
103	3	MephistoBridge		0
104	3	HellGate		0
105	3	ShrineManaKurast		0
106	3	ShrineHealthKurast		0
107	3	Fog		0
108	3	JungleTorch2		0
109	3	HratliStart		0
110	3	HratliEnd		0
111	3	MephistoDoor		0
112	3	ConsolationChest		0
113	3	KhalimHeartChest		0
114	3	KhalimEyeChest		0
115	3	KhalimBrainChest		0
0	4	WaypointOutsideAct4		0
1	4	PlaceUniqueChest		0
2	4	Bank		0
3	4	GoldProxy		0
4	4	PlaceRandomTreasureChest		0
5	4	ControlObject		0
6	4	ControlObject		0
7	4	ControlObject		0
8	4	Hellfire1		0
9	4	Hellfire2		0
10	4	Hellfire3		0
11	4	HellLava1		0
12	4	HellLava2		0
13	4	HellLava3		0
14	4	HellLight1		0
15	4	HellLight2		0
16	4	HellLight3		0
17	4	HellBrazier1		0
18	4	HellBrazier2		0
19	4	OuterHellSkeleton		0
20	4	SkeletonSpawnHell		0
21	4	SkeletonSpawnHell2		0
22	4	HellBonePile		0
23	4	Fog		0
24	4	HellWell		0
25	4	HellManaWell1		0
26	4	HellShrine1		0
27	4	OuterShrineHell2		0
28	4	OuterShrineHell3		0
29	4	InnerHellManaShrine1		0
30	4	InnerHellMagicShrine1		0
31	4	InnerHellMagicShrine2		0
32	4	InnerHellMagicShrine3		0
33	4	InnerHellHealthShrine1		0
34	4	SkullPile		0
35	4	HellObject2		0
36	4	Pillar2		0
37	4	InnerHellObject1		0
38	4	InnerHellObject2		0
39	4	InnerHellObject3		0
40	4	OuterHellObject1		0
41	4	HellBridge		0
42	4	SoulStoneForge		0
43	4	DiabloLightShaftLeft		0
44	4	DiabloLightShaftRight		0
45	4	HellGate		0
46	4	DiabloStart		0
47	4	DiabloSeal1		0
48	4	DiabloSeal2		0
49	4	DiabloSeal3		0
50	4	DiabloSeal4		0
51	4	DiabloSeal5		0
52	4	WaypointAct4Town		0
53	4	ConsolationChest		0
54	4	Fissure		0
55	4	HellSmoke		0
56	4	HellBrazier3		0
57	4	JackInTheBox1		0
58	4	DamnedV1		0
59	4	DamnedV2		0
60	4	TombWallTorchLeft		0
61	4	TombWallTorchRight		0
62	4	HellBrazier4		0
63	4	FloorBrazier		0
64	4	PandemoniumBrazier1		0
65	4	PandemoniumBrazier2		0
0	5	EBanner1		0
1	5	EBanner2		0
2	5	GuildVault		0
3	5	SteegStone		0
4	5	Bank		0
5	5	Fog		0
6	5	TikiTorch2		0
7	5	RogueBonfire		0
8	5	Standard1		0
9	5	Standard2		0
10	5	Candles1		0
11	5	Candles2		0
12	5	WallTorch1		0
13	5	FloorBrazier		0
14	5	TownTorch		0
15	5	EBurningBodies1		0
16	5	BurningPit		0
17	5	Ecfra		0
18	5	ETownTorch		0
19	5	EFlag		0
20	5	EfLG		0
21	5	EfLG		0
22	5	CHAn		0
23	5	WaypointExp		0
24	5	WoodChestL		0
25	5	WoodChestR		0
26	5	ClothChestL		0
27	5	ClothChestR		0
28	5	SnowClothChestL		0
29	5	SnowClothChestR		0
30	5	Barrel2		0
31	5	Barrel3		0
32	5	ChestBurIAll		0
33	5	ChestBurialR		0
34	5	StoneStash		0
35	5	ShrineWildernessExp1		0
36	5	ShrineWildernessExp2		0
37	5	ShrineWildernessExp3		0
38	5	ShrineWildernessExp4		0
39	5	ShrineAltarExp		0
40	5	ShrineManaExp		0
41	5	ShrineHealthExp		0
42	5	WellExp		0
43	5	EhGate		0
44	5	Bank		0
45	5	EJar1		0
46	5	EJar2		0
47	5	EJar3		0
48	5	ESwing		0
49	5	EPole		0
50	5	EShit		0
51	5	EStuff2		0
52	5	EhGate		0
53	5	DrehyaInTown		0
54	5	DrehyaOutsideTown		0
55	5	NihlathakInTown		0
56	5	NihlathakOutsideTown		0
57	5	TikiTorch2		0
58	5	CagedWussie1		0
59	5	SpecialChest100		0
60	5	PhallicSymbol100		0
61	5	PhallicSymbol101		0
62	5	InsideAltar		0
63	5	IceCaveObject1		0
64	5	ShrineHealthIceCave		0
65	5	ShrineManaIceCave		0
66	5	IceCaveEvilUrn		0
67	5	IceCaveJar1		0
68	5	IceCaveJar2		0
69	5	IceCaveJar3		0
70	5	IceCaveJar4		0
71	5	IceCaveJar5		0
72	5	ShrineMagicIceCave		0
73	5	DeadBarbarian		0
74	5	ShrineMagicIceCave2		0
75	5	IceCaveTorch1		0
76	5	IceCaveTorch2		0
77	5	ShrineBaal1		0
78	5	ShrineBaal2		0
79	5	BaalTomb1		0
80	5	BaalTomb2		0
81	5	BaalTomb3		0
82	5	ExplodingChest100		0
83	5	ETorchB		0
84	5	BreakableDoor		0
85	5	ShrineBaalMagic		0
86	5	WellSnowy		0
87	5	WellSnowy		0
88	5	ShrineMagicSnow1		0
89	5	ShrineMagicSnow2		0
90	5	ShrineBallMagic2		0
91	5	ShrineBaalMagic3		0
92	5	ShrineTempleMagic1		0
93	5	ShrineTempleMagic2		0
94	5	BaalTorch1		0
95	5	BaalTorch2		0
96	5	Torch1Temple		0
97	5	Torch2Temple		0
98	5	WellSnowy		0
99	5	WellBaal		0
100	5	WellTemple		0
101	5	WaypointBaal		0
102	5	WaypointWilderness		0
103	5	WaypointIceCave		0
104	5	SnowyGenericName		0
105	5	SnowChestL		0
106	5	SnowChestR		0
107	5	SnowWoodChestL		0
108	5	SnowWoodChestR		0
109	5	SnowSwingHeads		0
110	5	SnowDebris		0
111	5	MisterPole		0
112	5	FireSmall		0
113	5	FireMedium		0
114	5	FireLarge		0
115	5	GoldProxy		0
116	5	RedLight		0
117	5	ETorch1		0
118	5	WaypointWilderness		0
119	5	WaypointWilderness		0
120	5	WaypointWilderness		0
121	5	Bubbles1		0
122	5	Bubbles2		0
123	5	MoreCandles		0
124	5	TempleWaypoint		0
125	5	LarzukGreetingPlace		0
126	5	LarzukStandardPlace		0
127	5	AncientsAltar		0
128	5	AncientsGateway		0
129	5	WeaponRackRight		0
130	5	WeaponRackLeft		0
131	5	ArmorStandRight		0
132	5	ArmorStandLeft		0
133	5	SummitTorch		0
134	5	IceCaveSteam		0
135	5	FuneralPyre		0
136	5	BurningLogs		0
137	5	MaybeTheLaStone		0
138	5	YetAnotherTomb		0
139	5	GroundTomb		0
140	5	BBQ		0
141	5	BaalTorch		0
142	5	SummitDoor		0
143	5	DummyEx106		0
144	5	DummyEx107		0
145	5	TorchBaal1		0
146	5	TorchBaal2		0
147	5	FinalPortal		0
148	5	DummyEx109		0
149	5	ConsolationChest		0
