Handle	Index	Song	Day Ambience	HD Day Ambience	Night Ambience	HD Night Ambience	Day Event	HD Day Event	Night Event	HD Night Event	Event Delay	HD Event Delay	Indoors	Material 1	HD Material 1	Material 2	HD Material 2	SFX EAX Environ	SFX EAX Room Vol	SFX EAX Room HF	SFX EAX Decay Time	SFX EAX Decay HF	SFX EAX Reflect	SFX EAX Reflect Delay	SFX EAX Reverb	SFX EAX Rev Delay	VOX EAX Environ	VOX EAX Room Vol	VOX EAX Room HF	VOX EAX Decay Time	VOX EAX Decay HF	VOX EAX Reflect	VOX EAX Reflect Delay	VOX EAX Reverb	VOX EAX Rev Delay
ESOUNDENVIRON_NONE	0										250	250	0	0	0	0	0	0	-1250	-500	100	210	-500	175	-1434	0	0	-1800	0	500	100	-800	175	-1434	100
ESOUNDENVIRON_TOWN_1	1	music_town_1	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night	event_town1_day_hd2	event_town1_day_hd3	event_wild_night_1	event_town_1_night_hd	500	500	0	1	1	5	5	17	-1250	-500	250	100	-700	175	-1434	100	17	-2100	-750	1200	150	-950	175	-1200	100
ESOUNDENVIRON_WILDERNESS	2	music_wilderness	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night	event_wild_day_1	event_wild_day_1	event_wild_night_1	event_wild_night_1	250	250	0	1	1	5	5	17	-1650	-950	250	700	-700	175	-1434	100	17	-2000	-750	1000	450	-1000	175	-1200	100
ESOUNDENVIRON_TRISTRAM	3	music_tristram	scene_wilderness_day	scene_wilderness_day	scene_wilderness_night	scene_wilderness_night	event_wild_day_1	event_tristram_hd1	event_wild_night_1	event_tristram_hd1	100	100	0	1	1	5	5	17	-1250	-500	250	210	-900	175	-1434	100	17	-1600	0	250	210	-1250	175	-1434	100
ESOUNDENVIRON_CAVE	4	music_caves	scene_cave	scene_cave	scene_cave	scene_cave	event_cave_1	event_cave_hd_8	event_cave_1	event_cave_hd_8	100	100	1	1	1	0	0	5	-2000	-600	3400	975	0	12	125	100	5	-2000	-600	3200	640	0	80	83	17
ESOUNDENVIRON_CRYPT	5	music_crypt	scene_crypt	scene_crypt	scene_crypt	scene_crypt	event_crypt_1	event_crypt_hd_1	event_crypt_1	event_crypt_hd_1	150	150	1	2	2	0	0	5	-1550	-250	2500	640	150	65	120	65	5	-1650	-300	3000	439	308	75	83	75
ESOUNDENVIRON_MONASTERY	6	music_monastery	scene_monastery	scene_monastery	scene_monastery	scene_monastery	event_monastery_1	event_monastery_1	event_monastery_1	event_monastery_1	250	100	0	1	1	3	3	7	-1900	-500	3300	700	-1230	20	-2	29	7	-1800	-500	3300	700	-1230	20	-2	29
ESOUNDENVIRON_COURTYARD	7	music_monastery	scene_monastery	scene_monastery	scene_monastery	scene_monastery	event_monastery_1	event_court_day_hd2	event_monastery_1	event_court_night_hd1	250	250	0	1	1	3	3	7	-1900	-500	1800	700	-1230	75	-2	29	7	-2000	-500	1000	700	-1100	100	-2	29
ESOUNDENVIRON_BARRACKS	8	music_monastery	scene_catacombs	scene_catacombs	scene_catacombs	scene_catacombs	event_catacombs_1	event_catacombs_hd_5	event_catacombs_1	event_catacombs_hd_5	800	800	1	1	1	0	0	6	-1500	0	2600	590	-100	20	0	0	6	-1200	-476	2000	590	-711	20	-289	30
ESOUNDENVIRON_CATHEDRAL	9	music_monastery	scene_cathedral	scene_cathedral	scene_cathedral	scene_cathedral	event_basement_1	event_cathedral_hd2	event_basement_1	event_cathedral_hd2	500	100	1	2	2	0	0	7	-1900	-500	4300	700	-500	100	-2	80	7	-2200	-500	4400	700	-500	100	-2	80
